angle,magnitude,occurrences
-3.01,0.58,22
-2.51,0.54,22
-2.04,0.61,22
-0.15,0.58,22
-2.57,0.57,22
-2.57,0.49,22
-1.99,0.79,22
-0.55,0.57,22
2.82,0.54,22
-0.27,0.6,22
-2.79,0.49,22
-1.91,0.68,22
1.6,0.67,22
-1.62,0.7,22
-2.6,0.56,22
2.29,0.6,22
0.59,0.58,22
2.28,0.57,22
-0.87,0.56,22
-0.87,0.61,22
1.97,0.62,22
1.21,0.72,22
-0.84,0.7,22
1.21,0.58,22
-2.52,0.5,22
-2.52,0.55,22
2.92,0.59,22
1.42,0.66,22
1.42,0.79,22
2.12,0.61,22
-3.03,0.58,22
-1.96,0.59,22
2.13,0.7,22
0.88,0.54,22
-0.59,0.59,22
-0.58,0.56,22
-2.19,0.6,22
0.87,0.54,22
0.87,0.61,22
0.32,0.55,22
1.41,0.67,22
1.41,0.74,22
-0.53,0.54,22
0.33,0.46,22
2.61,0.54,22
-2.58,0.66,22
1.29,0.58,22
1.29,0.61,22
-0.29,0.52,22
1.19,0.66,22
-1.43,0.78,22
-1.54,0.66,22
-1.54,0.68,22
0.96,0.53,22
-0.51,0.52,22
1.54,0.65,22
-1.54,0.65,22
-2.62,0.53,22
-2.5,0.57,22
2.6,0.53,22
-1.77,0.76,22
1.98,0.64,22
-0.06,0.54,22
-2.85,0.48,22
0.75,0.75,22
-1.62,0.63,22
-1.31,0.66,22
0.28,0.58,22
0.3,0.58,22
-0.98,0.73,22
2.94,0.54,22
-1.84,0.65,22
-0.5,0.49,22
-1.93,0.67,22
1.51,0.56,22
1.99,0.68,22
-1.77,0.65,22
-1.44,0.65,22
-0.04,0.48,22
-0.04,0.49,22
1.18,0.61,22
2.79,0.59,22
-0.79,0.57,22
2.42,0.58,22
-1.93,0.6,22
-1.14,0.59,22
-1.14,0.71,22
-2.89,0.55,22
1.4,0.63,22
3.01,0.58,22
-1.97,0.68,22
-0.04,0.57,22
-3.09,0.59,22
-0.83,0.55,22
-2.41,0.54,22
2.0,0.63,22
2.31,0.55,22
0.54,0.52,22
1.52,0.68,22
2.85,0.51,22
2.34,0.59,22
0.26,0.5,22
-2.34,0.59,22
-1.87,0.68,22
1.71,0.59,22
-0.33,0.52,22
-0.33,0.53,22
-0.02,0.52,22
2.57,0.59,22
2.57,0.65,22
-2.06,0.66,22
-1.76,0.74,22
-2.06,0.59,22
-1.45,0.78,22
2.56,0.62,22
2.73,0.61,22
-1.36,0.6,22
-0.36,0.66,22
-1.32,0.69,22
3.06,0.51,22
3.06,0.52,22
-2.82,0.57,22
0.23,0.56,22
-2.22,0.56,22
-2.22,0.63,22
0.25,0.55,22
-0.47,0.54,22
-0.97,0.68,22
0.42,0.5,22
1.52,0.64,22
1.69,0.73,22
1.69,0.74,22
0.45,0.49,22
0.45,0.52,22
0.22,0.48,22
-1.73,0.69,22
-0.47,0.58,22
-2.34,0.58,22
-1.32,0.64,22
3.02,0.45,22
1.15,0.72,22
-1.9,0.69,22
1.32,0.74,22
-1.36,0.62,22
-2.54,0.62,22
0.53,0.54,22
2.19,0.59,22
-2.59,0.53,22
-2.76,0.52,22
-1.51,0.7,22
-1.28,0.67,22
-0.61,0.57,22
-0.67,0.61,22
-0.66,0.54,22
-1.04,0.65,22
-2.93,0.56,22
0.02,0.53,22
0.02,0.55,22
0.04,0.5,22
-0.92,0.7,22
1.63,0.55,22
1.63,0.67,22
3.03,0.58,22
2.53,0.63,22
-1.6,0.71,22
-2.0,0.67,22
1.47,0.61,22
2.33,0.62,22
0.47,0.51,22
0.82,0.47,22
-2.72,0.55,22
1.37,0.64,22
1.37,0.65,22
-1.15,0.71,22
-3.12,0.55,22
-3.12,0.57,22
-2.17,0.57,22
-2.17,0.58,22
-2.12,0.57,22
-2.12,0.59,22
1.12,0.53,22
-1.47,0.65,22
-0.39,0.55,22
1.64,0.65,22
-2.9,0.58,22
-3.08,0.51,22
-1.5,0.77,22
0.17,0.56,22
2.77,0.5,22
1.9,0.7,22
0.18,0.53,22
0.19,0.55,22
-0.95,0.6,22
0.46,0.5,22
-0.63,0.53,22
-0.63,0.58,22
2.85,0.6,22
-1.94,0.62,22
-1.33,0.62,22
0.07,0.46,22
-0.4,0.57,22
-0.4,0.58,22
3.03,0.66,22
0.51,0.52,22
0.52,0.55,22
1.83,0.69,22
-2.98,0.58,22
3.1,0.53,22
1.09,0.6,22
1.1,0.58,22
2.95,0.5,22
2.95,0.55,22
1.36,0.61,22
-3.11,0.61,22
1.78,0.61,22
-2.74,0.57,22
-2.74,0.62,22
1.92,0.59,22
-2.03,0.63,22
1.91,0.63,22
-1.34,0.61,22
-1.12,0.58,22
-1.59,0.64,22
0.81,0.54,22
0.81,0.56,22
2.18,0.71,22
2.04,0.55,22
2.04,0.63,22
-0.42,0.5,22
-0.42,0.52,22
-0.42,0.55,22
1.35,0.68,22
2.99,0.58,22
-2.58,0.5,22
1.96,0.6,22
-0.25,0.55,22
-2.04,0.56,22
2.66,0.6,22
-0.21,0.62,22
3.12,0.5,22
1.26,0.66,22
-2.04,0.63,22
-2.04,0.69,22
-2.04,0.7,22
2.25,0.63,22
2.24,0.64,22
-3.14,0.62,22
1.84,0.71,22
0.67,0.6,22
1.5,0.75,21
-3.14,0.65,21
-2.14,0.66,21
-2.86,0.62,21
-1.24,0.69,21
0.69,0.55,21
-2.92,0.53,21
-0.86,0.69,21
2.64,0.53,21
-0.17,0.51,21
-2.78,0.57,21
-2.64,0.64,21
0.61,0.5,21
2.88,0.57,21
-0.7,0.51,21
-1.25,0.62,21
-1.13,0.72,21
-1.29,0.69,21
2.83,0.52,21
2.38,0.63,21
-1.56,0.76,21
-2.44,0.57,21
-1.49,0.76,21
2.17,0.64,21
0.49,0.54,21
-1.59,0.61,21
2.95,0.62,21
1.08,0.65,21
1.08,0.68,21
-2.07,0.64,21
-1.92,0.62,21
2.75,0.56,21
-1.92,0.68,21
-1.92,0.72,21
-2.24,0.57,21
-2.24,0.64,21
-1.12,0.56,21
0.09,0.49,21
2.51,0.59,21
-1.68,0.66,21
-2.0,0.59,21
-0.64,0.57,21
2.86,0.54,21
-2.98,0.6,21
1.09,0.69,21
-3.02,0.53,21
2.96,0.63,21
-2.56,0.64,21
1.64,0.61,21
1.36,0.62,21
-0.44,0.6,21
-0.43,0.59,21
3.05,0.57,21
2.05,0.67,21
2.05,0.73,21
-0.8,0.62,21
-1.33,0.66,21
-0.45,0.54,21
1.06,0.61,21
0.15,0.51,21
2.53,0.6,21
-1.75,0.67,21
2.52,0.6,21
-1.16,0.59,21
1.63,0.75,21
-0.41,0.66,21
-1.82,0.66,21
-1.82,0.59,21
-0.92,0.58,21
-2.17,0.6,21
-2.61,0.54,21
-2.12,0.67,21
0.06,0.55,21
-0.81,0.65,21
1.92,0.72,21
1.11,0.62,21
-1.5,0.73,21
-1.33,0.7,21
2.77,0.56,21
-2.84,0.5,21
-2.18,0.6,21
1.86,0.63,21
-0.62,0.5,21
-1.94,0.68,21
-1.12,0.54,21
2.02,0.64,21
-2.54,0.49,21
1.14,0.64,21
2.55,0.51,21
-0.91,0.62,21
2.54,0.57,21
0.06,0.52,21
0.46,0.57,21
1.45,0.69,21
-0.62,0.63,21
0.47,0.56,21
1.77,0.72,21
-0.46,0.59,21
-1.83,0.75,21
1.37,0.63,21
1.65,0.66,21
0.19,0.57,21
0.2,0.48,21
-1.51,0.68,21
0.21,0.51,21
0.21,0.56,21
1.52,0.58,21
-1.11,0.68,21
-2.37,0.52,21
-1.26,0.67,21
-2.68,0.57,21
-1.67,0.65,21
-3.09,0.63,21
-0.38,0.55,21
-1.2,0.64,21
2.97,0.55,21
1.57,0.67,21
0.45,0.59,21
-2.34,0.56,21
-0.47,0.63,21
1.62,0.79,21
-0.91,0.69,21
3.02,0.6,21
2.97,0.56,21
-1.36,0.66,21
0.0,0.64,21
2.01,0.69,21
1.71,0.71,21
-0.95,0.69,21
1.03,0.58,21
-0.46,0.5,21
1.55,0.68,21
2.46,0.76,21
1.93,0.72,21
1.31,0.69,21
-0.02,0.5,21
2.57,0.61,21
-1.76,0.67,21
-2.06,0.63,21
-1.36,0.7,21
1.62,0.68,21
1.01,0.68,21
-2.22,0.55,21
-0.48,0.5,21
-2.45,0.5,21
2.16,0.58,21
1.69,0.72,21
-2.46,0.57,21
-1.69,0.64,21
-1.96,0.62,21
-1.96,0.64,21
1.69,0.64,21
-1.86,0.67,21
0.26,0.46,21
1.39,0.71,21
-1.84,0.68,21
0.56,0.58,21
-0.73,0.64,21
-0.68,0.63,21
-1.87,0.66,21
-1.87,0.69,21
-0.67,0.57,21
1.71,0.67,21
2.2,0.72,21
1.93,0.64,21
3.07,0.58,21
3.07,0.6,21
2.1,0.63,21
-2.89,0.56,21
-1.31,0.77,21
1.18,0.67,21
-0.04,0.55,21
-0.83,0.71,21
2.71,0.56,21
2.58,0.6,21
0.55,0.61,21
2.3,0.64,21
1.52,0.66,21
2.85,0.59,21
-1.69,0.72,21
0.44,0.55,21
-1.89,0.75,21
-0.79,0.77,21
-0.51,0.57,21
1.76,0.62,21
-2.55,0.51,21
-1.05,0.62,21
-1.05,0.69,21
1.99,0.65,21
1.18,0.68,21
1.18,0.81,21
-2.31,0.55,21
-0.32,0.5,21
1.3,0.72,21
0.98,0.61,21
2.08,0.61,21
2.42,0.6,21
-2.5,0.58,21
-2.94,0.54,21
1.87,0.73,21
-0.31,0.56,21
-0.31,0.59,21
1.3,0.63,21
-0.07,0.49,21
-0.06,0.55,21
-0.06,0.56,21
2.29,0.61,21
0.57,0.59,21
0.58,0.55,21
1.89,0.67,21
-0.49,0.57,21
2.1,0.76,21
2.4,0.63,21
1.41,0.68,21
-0.54,0.53,21
-0.1,0.56,21
1.2,0.58,21
1.2,0.71,21
1.29,0.62,21
-1.9,0.63,21
-0.08,0.54,21
-0.08,0.55,21
-0.08,0.57,21
-2.67,0.56,21
1.41,0.66,21
1.83,0.58,21
0.95,0.56,21
0.95,0.6,21
-1.57,0.83,21
0.74,0.53,21
-1.62,0.72,21
-1.42,0.62,21
-1.42,0.66,21
-2.28,0.67,21
-0.29,0.6,21
1.42,0.63,21
0.93,0.61,21
0.93,0.62,21
-1.55,0.68,21
2.14,0.67,21
2.84,0.61,21
-0.59,0.55,21
-1.57,0.65,21
-1.57,0.71,21
-3.07,0.57,21
-1.02,0.67,21
2.39,0.61,21
-1.71,0.7,21
1.54,0.61,21
0.34,0.6,21
2.62,0.6,21
-1.78,0.71,21
-0.14,0.52,21
-1.8,0.65,21
-0.13,0.49,21
-0.88,0.73,21
1.74,0.64,21
-2.66,0.53,21
-2.38,0.54,21
1.85,0.7,21
0.74,0.52,21
-1.66,0.69,21
0.73,0.54,21
0.62,0.56,21
1.72,0.76,21
-1.06,0.67,21
-1.18,0.64,21
1.8,0.67,21
-2.96,0.59,21
1.23,0.58,21
1.23,0.71,21
-1.99,0.69,21
-2.55,0.59,21
-1.7,0.74,21
-1.7,0.68,21
-1.7,0.73,21
0.4,0.58,21
-1.88,0.66,21
2.89,0.55,21
-0.71,0.59,21
0.63,0.58,21
-0.85,0.55,21
1.27,0.69,21
-2.96,0.54,21
-0.76,0.59,21
-1.29,0.64,21
-1.01,0.76,21
1.75,0.65,21
3.09,0.65,21
1.73,0.66,21
1.73,0.68,21
-2.48,0.57,21
3.12,0.58,21
-3.06,0.51,21
2.33,0.57,21
0.8,0.52,21
2.04,0.64,21
2.04,0.67,21
-1.49,0.75,21
1.59,0.64,21
1.59,0.66,21
-2.92,0.49,21
-0.25,0.56,21
-2.3,0.64,21
1.26,0.69,21
-3.1,0.51,21
-0.22,0.54,21
0.65,0.56,21
-2.53,0.53,21
-1.95,0.7,20
-1.95,0.65,20
-2.02,0.69,20
-2.02,0.73,20
-1.32,0.65,20
-1.51,0.71,20
-2.14,0.57,20
0.69,0.54,20
2.23,0.66,20
1.84,0.64,20
-1.07,0.64,20
2.22,0.6,20
2.24,0.65,20
-2.53,0.56,20
-2.3,0.73,20
-0.22,0.53,20
1.66,0.71,20
1.66,0.72,20
1.66,0.74,20
1.76,0.75,20
2.78,0.6,20
-2.76,0.54,20
-2.02,0.61,20
-2.76,0.6,20
1.54,0.71,20
0.19,0.52,20
2.67,0.58,20
-0.21,0.5,20
-0.2,0.6,20
-2.15,0.6,20
0.64,0.56,20
0.65,0.6,20
-0.96,0.52,20
-1.21,0.66,20
-2.72,0.52,20
-1.83,0.71,20
1.37,0.59,20
0.72,0.57,20
2.88,0.63,20
2.99,0.56,20
2.99,0.57,20
1.27,0.6,20
-1.79,0.63,20
-1.79,0.69,20
-1.79,0.75,20
2.89,0.51,20
1.9,0.69,20
1.9,0.72,20
1.03,0.68,20
-2.08,0.61,20
1.05,0.62,20
-2.23,0.55,20
-3.0,0.54,20
-3.0,0.61,20
-1.63,0.77,20
2.63,0.59,20
-0.87,0.66,20
3.12,0.55,20
3.12,0.56,20
-1.14,0.64,20
-2.23,0.61,20
0.17,0.51,20
1.06,0.66,20
0.15,0.48,20
-2.34,0.65,20
2.79,0.56,20
-2.99,0.57,20
-1.89,0.65,20
-1.63,0.68,20
-2.53,0.6,20
2.21,0.73,20
2.27,0.63,20
1.28,0.63,20
1.95,0.61,20
-2.78,0.59,20
1.24,0.56,20
-1.4,0.67,20
0.28,0.45,20
-2.89,0.59,20
0.98,0.55,20
1.64,0.75,20
-1.74,0.75,20
-1.21,0.57,20
0.27,0.55,20
0.27,0.56,20
-1.93,0.64,20
-0.7,0.61,20
-0.7,0.64,20
0.74,0.62,20
2.21,0.58,20
-2.6,0.6,20
-2.42,0.55,20
1.23,0.68,20
-0.27,0.63,20
-0.27,0.67,20
-1.38,0.56,20
2.4,0.55,20
2.4,0.66,20
0.31,0.48,20
2.1,0.61,20
-1.21,0.63,20
2.94,0.58,20
-0.45,0.53,20
1.4,0.68,20
2.79,0.69,20
-1.41,0.73,20
-1.38,0.63,20
-1.38,0.74,20
-2.64,0.53,20
-1.18,0.67,20
-2.49,0.55,20
0.73,0.59,20
0.6,0.57,20
-0.51,0.61,20
-1.93,0.69,20
-1.93,0.73,20
-2.21,0.61,20
-1.72,0.81,20
-1.72,0.7,20
-2.09,0.64,20
-2.33,0.59,20
-0.44,0.5,20
-2.09,0.66,20
0.3,0.51,20
-1.62,0.68,20
2.68,0.57,20
2.8,0.51,20
1.54,0.66,20
-1.54,0.63,20
-0.79,0.81,20
-2.24,0.65,20
-2.9,0.54,20
-1.84,0.6,20
2.8,0.67,20
-0.51,0.55,20
-2.66,0.6,20
-2.73,0.48,20
2.87,0.51,20
-1.91,0.74,20
1.6,0.69,20
-2.79,0.61,20
-0.14,0.55,20
-0.69,0.58,20
3.12,0.44,20
-0.54,0.58,20
-3.07,0.62,20
1.76,0.61,20
0.96,0.61,20
-1.74,0.68,20
1.91,0.64,20
1.89,0.65,20
1.74,0.57,20
1.74,0.71,20
-0.12,0.53,20
2.98,0.52,20
1.97,0.63,20
1.97,0.68,20
1.97,0.69,20
-2.85,0.52,20
1.67,0.75,20
3.08,0.5,20
2.11,0.62,20
-3.11,0.59,20
1.56,0.71,20
0.33,0.55,20
-0.77,0.61,20
0.58,0.6,20
1.51,0.68,20
-3.01,0.56,20
-0.11,0.47,20
-0.73,0.56,20
-0.73,0.57,20
1.85,0.61,20
-2.97,0.57,20
-2.94,0.68,20
1.1,0.66,20
-2.75,0.61,20
2.93,0.61,20
-1.3,0.72,20
1.67,0.73,20
2.98,0.53,20
0.55,0.57,20
-1.48,0.69,20
1.09,0.65,20
-1.82,0.68,20
0.35,0.52,20
-2.69,0.49,20
0.9,0.61,20
-1.82,0.73,20
3.04,0.5,20
2.53,0.56,20
2.14,0.61,20
0.9,0.52,20
2.38,0.6,20
-0.76,0.68,20
2.03,0.65,20
2.52,0.56,20
0.06,0.54,20
-0.75,0.62,20
3.09,0.58,20
-1.26,0.66,20
-0.66,0.55,20
3.11,0.63,20
-2.61,0.57,20
-0.29,0.56,20
-0.11,0.65,20
1.79,0.69,20
-2.61,0.59,20
0.53,0.59,20
0.4,0.46,20
0.4,0.49,20
2.37,0.61,20
-0.39,0.64,20
2.74,0.58,20
2.74,0.52,20
1.33,0.62,20
2.13,0.72,20
1.79,0.59,20
-1.97,0.66,20
-1.03,0.62,20
1.69,0.62,20
2.14,0.66,20
0.39,0.59,20
1.33,0.72,20
-2.03,0.65,20
-2.03,0.68,20
1.11,0.68,20
-1.47,0.63,20
1.63,0.68,20
3.03,0.49,20
-2.57,0.59,20
1.43,0.6,20
-3.12,0.6,20
1.3,0.67,20
-0.3,0.57,20
2.6,0.57,20
1.19,0.72,20
2.86,0.57,20
1.83,0.7,20
2.32,0.58,20
2.32,0.59,20
-2.19,0.64,20
-1.57,0.74,20
-0.39,0.73,20
1.14,0.66,20
-1.57,0.77,20
-1.02,0.59,20
0.51,0.56,20
-1.44,0.68,20
-1.77,0.75,20
-0.31,0.48,20
-1.68,0.69,20
-3.04,0.61,20
-2.88,0.58,20
2.01,0.65,20
1.13,0.58,20
1.13,0.6,20
1.13,0.75,20
2.54,0.53,20
0.0,0.65,20
1.88,0.7,20
-0.59,0.63,20
-2.36,0.62,20
2.84,0.58,20
1.3,0.68,20
1.18,0.56,20
-0.74,0.6,20
2.91,0.56,20
2.91,0.57,20
-0.6,0.57,20
0.41,0.59,20
-0.37,0.58,20
1.81,0.68,20
0.02,0.52,20
-2.77,0.65,20
0.86,0.54,20
-0.9,0.67,20
-0.04,0.56,20
-3.09,0.56,20
-3.09,0.58,20
2.71,0.61,20
-1.37,0.68,20
-1.37,0.73,20
-1.86,0.64,20
1.46,0.67,20
-2.39,0.59,20
0.0,0.61,20
2.55,0.59,20
-1.36,0.72,20
2.56,0.55,20
-2.91,0.55,20
1.92,0.8,20
2.57,0.53,20
0.46,0.55,20
-1.86,0.68,20
-1.27,0.6,20
-1.2,0.59,20
1.93,0.81,20
1.17,0.65,20
-0.04,0.51,20
-2.74,0.6,20
-3.06,0.55,20
0.83,0.56,20
-0.62,0.56,20
-0.62,0.64,20
1.44,0.67,20
1.44,0.68,20
1.16,0.66,20
-1.76,0.62,20
-1.76,0.69,20
0.48,0.58,20
0.49,0.52,20
-0.62,0.53,20
-1.2,0.56,20
-1.1,0.66,20
-1.95,0.75,20
2.21,0.84,20
-1.88,0.67,20
-1.88,0.7,20
-1.88,0.73,20
-1.88,0.74,20
1.77,0.77,20
1.65,0.65,20
2.45,0.57,20
0.22,0.49,20
0.22,0.54,20
0.22,0.58,20
2.78,0.55,20
-1.52,0.66,20
-2.82,0.5,20
3.05,0.59,19
-1.52,0.67,19
0.23,0.57,19
-2.82,0.64,19
-2.59,0.55,19
-1.73,0.72,19
-1.73,0.67,19
-1.73,0.59,19
-1.79,0.62,19
-2.92,0.58,19
0.24,0.55,19
2.42,0.63,19
1.65,0.7,19
1.76,0.73,19
-0.46,0.55,19
2.46,0.56,19
-2.92,0.59,19
1.26,0.59,19
1.26,0.64,19
-2.04,0.68,19
1.25,0.75,19
-0.2,0.54,19
2.66,0.5,19
0.65,0.63,19
-1.94,0.73,19
2.32,0.67,19
2.17,0.76,19
1.86,0.83,19
1.44,0.64,19
-0.61,0.56,19
-2.39,0.58,19
1.69,0.71,19
2.16,0.71,19
2.01,0.6,19
-2.8,0.61,19
-2.06,0.65,19
0.47,0.44,19
0.48,0.6,19
0.49,0.57,19
-1.59,0.68,19
-1.23,0.72,19
2.73,0.56,19
1.62,0.69,19
-0.02,0.54,19
-0.02,0.56,19
-2.84,0.6,19
0.84,0.57,19
2.33,0.59,19
0.85,0.61,19
-1.96,0.68,19
1.69,0.63,19
-1.2,0.58,19
-0.33,0.55,19
1.94,0.59,19
1.17,0.6,19
-1.86,0.63,19
-0.04,0.61,19
-2.91,0.59,19
2.9,0.61,19
-1.94,0.74,19
-1.94,0.76,19
-1.86,0.7,19
-1.28,0.7,19
-1.28,0.74,19
2.35,0.76,19
0.43,0.79,19
2.16,0.59,19
1.32,0.65,19
1.32,0.73,19
0.0,0.56,19
-0.36,0.58,19
-1.23,0.67,19
-0.06,0.58,19
-1.77,0.68,19
-0.06,0.68,19
2.18,0.65,19
2.91,0.55,19
0.87,0.56,19
0.41,0.56,19
-1.2,0.65,19
-2.26,0.55,19
1.57,0.71,19
-1.9,0.75,19
2.97,0.57,19
2.36,0.57,19
0.42,0.57,19
2.91,0.59,19
-0.9,0.68,19
-2.67,0.54,19
2.6,0.56,19
-1.68,0.65,19
-1.68,0.78,19
0.81,0.63,19
2.35,0.67,19
2.35,0.74,19
-1.57,0.78,19
-1.46,0.64,19
-0.6,0.62,19
-3.04,0.63,19
2.0,0.67,19
1.17,0.79,19
1.18,0.59,19
2.59,0.55,19
-0.06,0.52,19
1.51,0.69,19
-2.19,0.68,19
-1.7,0.65,19
-1.7,0.72,19
1.12,0.6,19
2.54,0.58,19
-1.35,0.63,19
-1.35,0.64,19
2.02,0.66,19
-1.57,0.76,19
-2.46,0.59,19
1.18,0.7,19
-2.27,0.63,19
-2.27,0.68,19
3.01,0.55,19
-2.67,0.51,19
2.61,0.57,19
2.69,0.58,19
-2.0,0.64,19
1.47,0.65,19
1.47,0.66,19
-2.37,0.62,19
2.14,0.65,19
0.39,0.73,19
1.78,0.73,19
1.88,0.6,19
-0.3,0.58,19
2.6,0.6,19
-1.43,0.68,19
2.59,0.59,19
-2.66,0.69,19
-0.64,0.58,19
0.77,0.68,19
2.14,0.71,19
0.89,0.59,19
-0.81,0.51,19
1.92,0.71,19
-0.38,0.52,19
2.13,0.76,19
2.38,0.53,19
0.39,0.53,19
-3.04,0.54,19
0.77,0.61,19
0.79,0.57,19
-1.6,0.69,19
-1.6,0.7,19
-1.6,0.72,19
2.59,0.61,19
0.39,0.55,19
0.88,0.58,19
-1.75,0.7,19
2.52,0.62,19
2.52,0.64,19
-1.47,0.64,19
0.06,0.53,19
-0.75,0.71,19
-1.01,0.68,19
3.09,0.6,19
3.11,0.61,19
-3.12,0.56,19
2.31,0.65,19
2.31,0.66,19
-0.85,0.65,19
-0.85,0.72,19
2.51,0.65,19
-2.81,0.53,19
2.83,0.45,19
2.83,0.55,19
-2.94,0.59,19
-1.71,0.75,19
-2.2,0.66,19
0.9,0.58,19
-1.82,0.83,19
-0.82,0.61,19
2.38,0.77,19
0.36,0.57,19
0.89,0.76,19
0.37,0.53,19
0.37,0.59,19
0.35,0.59,19
-0.89,0.67,19
-0.88,0.63,19
-2.49,0.52,19
-0.88,0.69,19
1.2,0.59,19
-0.84,0.59,19
-0.84,0.6,19
0.55,0.55,19
-2.87,0.55,19
-2.16,0.61,19
-1.26,0.77,19
-1.26,0.64,19
-2.36,0.54,19
0.09,0.57,19
0.09,0.58,19
2.51,0.58,19
-0.11,0.56,19
-1.42,0.73,19
1.48,0.67,19
1.71,0.63,19
-1.67,0.64,19
-2.75,0.56,19
-1.34,0.65,19
1.34,0.71,19
1.34,0.74,19
1.08,0.64,19
0.1,0.54,19
-2.75,0.64,19
0.33,0.59,19
1.67,0.72,19
2.19,0.68,19
0.54,0.5,19
1.97,0.66,19
0.57,0.57,19
0.58,0.56,19
-0.98,0.63,19
2.11,0.61,19
2.39,0.65,19
-3.11,0.57,19
1.56,0.7,19
-2.81,0.55,19
2.5,0.58,19
2.92,0.58,19
-0.54,0.56,19
-2.47,0.64,19
2.9,0.66,19
2.9,0.67,19
-0.29,0.64,19
-0.14,0.6,19
-0.69,0.66,19
-0.53,0.53,19
1.4,0.76,19
-2.1,0.7,19
2.1,0.7,19
2.04,0.59,19
1.07,0.67,19
0.11,0.56,19
0.11,0.57,19
1.41,0.65,19
2.2,0.67,19
0.76,0.54,19
-0.12,0.51,19
-2.05,0.62,19
2.97,0.7,19
-1.8,0.71,19
-2.66,0.48,19
1.49,0.66,19
-2.66,0.58,19
2.8,0.54,19
-1.54,0.79,19
-0.79,0.69,19
1.89,0.75,19
1.35,0.63,19
-0.42,0.69,19
0.12,0.54,19
1.85,0.78,19
1.22,0.71,19
-1.91,0.77,19
-2.79,0.65,19
-2.79,0.67,19
-1.66,0.58,19
-0.44,0.53,19
-2.44,0.56,19
0.11,0.58,19
1.91,0.73,19
0.29,0.52,19
-1.62,0.69,19
2.28,0.73,19
-1.25,0.68,19
-0.28,0.58,19
-0.27,0.47,19
-1.8,0.52,19
1.94,0.67,19
1.28,0.7,19
-1.8,0.69,19
-1.8,0.7,19
-0.87,0.64,19
-1.41,0.72,19
-2.09,0.55,19
-1.84,0.84,19
1.4,0.64,19
1.55,0.65,19
-2.7,0.65,19
1.89,0.71,19
2.41,0.59,19
-1.41,0.6,19
-0.26,0.53,19
-1.38,0.66,19
-1.38,0.68,19
2.62,0.62,19
-1.91,0.83,19
0.59,0.51,19
-1.9,0.65,19
-1.41,0.67,19
1.24,0.65,19
1.59,0.68,19
-1.4,0.7,19
1.64,0.64,19
1.64,0.74,19
-2.56,0.58,19
1.77,0.65,19
-1.49,0.77,19
-1.74,0.7,19
-2.21,0.56,19
2.88,0.58,19
-0.7,0.6,19
2.87,0.52,19
-0.87,0.63,19
2.64,0.49,19
2.65,0.52,19
-0.87,0.71,19
1.8,0.74,19
-1.06,0.61,19
-1.06,0.63,19
-1.06,0.65,19
-1.14,0.79,19
2.43,0.6,19
0.26,0.62,19
-0.49,0.59,19
1.05,0.6,19
-2.72,0.63,19
-0.79,0.6,19
-1.63,0.69,19
-2.38,0.66,19
-1.79,0.64,19
1.5,0.64,19
-3.05,0.58,19
-1.63,0.75,19
-1.89,0.71,19
-1.89,0.72,19
2.79,0.61,19
-0.48,0.62,19
1.04,0.54,19
1.39,0.69,19
1.66,0.8,19
3.06,0.55,19
0.63,0.54,19
0.62,0.53,19
-2.29,0.58,19
-0.18,0.6,19
0.65,0.65,19
0.7,0.63,19
-0.96,0.61,19
-1.52,0.69,19
-1.52,0.77,19
2.08,0.66,19
2.08,0.67,19
-1.83,0.7,19
-1.83,0.63,19
-2.33,0.56,19
2.77,0.55,19
2.77,0.62,19
1.0,0.55,19
0.72,0.54,19
-0.85,0.57,19
2.98,0.59,19
2.25,0.7,19
1.38,0.77,19
2.46,0.69,19
0.2,0.54,19
-2.14,0.61,19
1.95,0.72,19
-2.95,0.56,19
2.22,0.63,19
2.22,0.72,19
-2.86,0.58,19
2.26,0.67,19
2.26,0.82,19
-0.24,0.54,19
-0.24,0.57,19
1.96,0.61,19
1.95,0.7,19
2.33,0.6,19
-0.03,0.62,19
-1.81,0.67,19
-1.81,0.71,19
2.72,0.62,19
-0.34,0.6,19
-2.91,0.61,19
-0.83,0.69,19
0.68,0.59,19
-3.14,0.66,19
0.71,0.57,19
0.66,0.52,19
2.25,0.64,19
1.59,0.67,19
-2.71,0.53,19
-0.23,0.56,19
2.24,0.7,18
-1.65,0.69,18
3.14,0.24,18
-1.08,0.61,18
-1.95,0.72,18
3.12,0.66,18
3.12,0.65,18
3.14,0.29,18
2.25,0.75,18
0.2,0.49,18
1.38,0.63,18
-0.96,0.63,18
1.01,0.6,18
-0.24,0.61,18
1.26,0.73,18
1.26,0.7,18
-0.25,0.52,18
2.66,0.58,18
-2.29,0.63,18
1.25,0.8,18
1.25,0.78,18
2.65,0.6,18
-1.39,0.65,18
0.62,0.55,18
0.62,0.51,18
-0.71,0.57,18
2.46,0.64,18
-2.59,0.56,18
2.44,0.61,18
1.77,0.74,18
1.77,0.69,18
1.54,0.69,18
1.54,0.68,18
0.69,0.57,18
-1.08,0.64,18
-1.51,0.75,18
1.66,0.62,18
-2.99,0.56,18
1.66,0.73,18
-0.97,0.67,18
1.9,0.63,18
2.47,0.61,18
-0.95,0.64,18
1.54,0.72,18
1.01,0.58,18
2.89,0.56,18
1.27,0.78,18
1.27,0.68,18
2.98,0.68,18
-2.95,0.68,18
-0.71,0.63,18
-3.05,0.59,18
