angle,magnitude,occurrences
-1.22,0.12,310
1.47,0.11,310
0.62,0.09,309
2.21,0.11,309
2.85,0.11,309
-0.12,0.09,308
3.02,0.09,308
-1.75,0.12,308
1.46,0.1,308
-1.39,0.12,307
-1.99,0.1,307
0.36,0.09,307
0.0,0.11,307
-0.85,0.11,307
-1.14,0.13,306
-2.78,0.09,306
2.25,0.14,305
1.77,0.11,305
0.32,0.1,305
-1.57,0.16,305
-1.74,0.13,305
1.48,0.12,305
1.28,0.11,305
-1.57,0.15,304
-2.63,0.11,304
-0.98,0.12,304
1.66,0.12,303
1.74,0.13,303
3.03,0.1,303
-1.11,0.14,303
1.57,0.14,301
2.0,0.13,301
-0.84,0.13,301
-1.65,0.13,301
1.19,0.11,301
-1.03,0.12,301
-2.82,0.1,301
0.98,0.12,300
-2.94,0.11,300
-0.32,0.1,300
0.11,0.1,300
-0.42,0.1,300
0.91,0.12,300
-3.02,0.09,300
2.5,0.11,299
2.23,0.12,299
0.42,0.1,299
1.87,0.14,299
-0.59,0.12,298
2.36,0.12,298
2.78,0.09,298
0.4,0.08,298
-2.0,0.13,298
1.11,0.14,298
-1.19,0.11,298
-1.57,0.14,297
2.82,0.1,297
0.86,0.1,297
2.55,0.12,297
-2.68,0.12,296
0.46,0.1,296
1.75,0.12,296
-0.56,0.1,296
0.72,0.11,296
-0.96,0.13,295
-2.72,0.1,295
1.11,0.12,295
-2.55,0.12,295
-2.25,0.14,294
-2.21,0.11,294
1.25,0.13,294
-0.64,0.11,294
-1.84,0.12,293
-0.91,0.12,293
1.39,0.12,293
0.85,0.11,292
-1.92,0.12,292
-1.82,0.13,292
-0.46,0.12,292
2.6,0.12,292
2.08,0.11,292
0.64,0.11,291
-2.96,0.12,290
-1.48,0.12,290
-0.38,0.11,290
-0.71,0.1,290
1.06,0.11,289
0.79,0.12,289
2.14,0.14,289
2.92,0.1,289
2.3,0.14,289
-0.79,0.11,288
0.96,0.13,288
-0.22,0.1,287
-1.49,0.13,287
2.3,0.13,287
2.18,0.13,287
-0.27,0.12,287
-1.27,0.14,286
2.68,0.12,286
1.15,0.1,286
1.22,0.12,286
-1.5,0.15,285
0.79,0.11,285
-1.64,0.15,285
-1.49,0.14,285
0.29,0.11,285
-0.2,0.11,284
-0.73,0.13,284
-0.72,0.11,282
1.07,0.13,282
1.14,0.13,282
0.2,0.11,282
-1.06,0.11,281
3.04,0.11,281
-0.11,0.1,281
-1.41,0.13,281
1.65,0.13,280
-1.8,0.14,280
2.48,0.12,280
0.93,0.11,279
0.84,0.13,279
-1.87,0.14,278
1.71,0.15,278
2.11,0.12,278
1.65,0.14,278
-0.61,0.13,277
